Jarak(L),Total Dispersi (s),Total Daya(dBm)
676,5.005756686064043e-12,42.848
677,5.005756686064065e-12,42.546
678,5.005756686064087e-12,42.244
679,5.00575668606411e-12,41.942
680,5.0057566860641316e-12,41.640
681,5.005756686064154e-12,41.338
682,5.005756686064176e-12,41.036
683,5.005756686064199e-12,40.734
684,5.005756686064221e-12,40.432
685,5.005756686064243e-12,40.130
686,5.005756686064266e-12,39.828
687,5.005756686064288e-12,39.526
688,5.005756686064311e-12,39.224
689,5.0057566860643335e-12,38.922
690,5.005756686064356e-12,38.620
691,5.005756686064379e-12,38.318
692,5.005756686064401e-12,38.016
693,5.005756686064424e-12,37.714
694,5.005756686064447e-12,37.412
695,5.005756686064469e-12,37.110
696,5.005756686064492e-12,36.808
697,5.0057566860645145e-12,36.506
698,5.005756686064538e-12,36.204
699,5.0057566860645605e-12,35.902
700,5.005756686064583e-12,35.600
701,5.0057566860646065e-12,35.298
702,5.005756686064629e-12,34.996
703,5.0057566860646526e-12,34.694
704,5.005756686064675e-12,34.392
705,5.005756686064699e-12,34.090
706,5.005756686064721e-12,33.788
707,5.005756686064745e-12,33.486
708,5.005756686064767e-12,33.184
709,5.005756686064791e-12,32.882
710,5.005756686064814e-12,32.580
711,5.0057566860648376e-12,32.278
712,5.005756686064861e-12,31.976
713,5.0057566860648844e-12,31.674
714,5.005756686064907e-12,31.372
715,5.0057566860649305e-12,31.070
716,5.005756686064954e-12,30.768
717,5.005756686064977e-12,30.466
718,5.005756686065001e-12,30.164
719,5.005756686065025e-12,29.862
720,5.0057566860650484e-12,29.560
721,5.005756686065072e-12,29.258
722,5.005756686065095e-12,28.956
723,5.005756686065119e-12,28.654
724,5.005756686065143e-12,28.352
725,5.005756686065166e-12,28.050
726,5.0057566860651906e-12,27.748
727,5.005756686065214e-12,27.446
728,5.0057566860652374e-12,27.144
729,5.005756686065262e-12,26.842
730,5.005756686065285e-12,26.540
731,5.005756686065309e-12,26.238
732,5.0057566860653336e-12,25.936
733,5.005756686065357e-12,25.634
734,5.005756686065381e-12,25.332
735,5.0057566860654055e-12,25.030
736,5.00575668606543e-12,24.728
737,5.005756686065454e-12,24.426
738,5.005756686065477e-12,24.124
739,5.0057566860655016e-12,23.822
740,5.005756686065526e-12,23.520
741,5.00575668606555e-12,23.218
742,5.005756686065574e-12,22.916
743,5.0057566860655985e-12,22.614
744,5.0057566860656236e-12,22.312
745,5.005756686065648e-12,22.010
746,5.005756686065672e-12,21.708
747,5.005756686065696e-12,21.406
748,5.0057566860657205e-12,21.104
749,5.0057566860657455e-12,20.802
750,5.00575668606577e-12,20.500
751,5.005756686065794e-12,20.198
752,5.005756686065819e-12,19.896
753,5.005756686065843e-12,19.594
